变量名,_beizhu1,resPath,tintBlack
默认值,,,FALSE
ID,功能说明,资源路径,是否开启tintBlack
1,,buff/laixilamu_buff/laixilamu_buff.skel,TRUE
2,,koudai_leijiqikasi/hero_leijiqikasi.skel,TRUE
3,,koudai_paluqiya/hero_paluqiya.skel,TRUE
4,,koudai_laixilamu/hero_laixilamu.skel,TRUE
5,,koudai_jihexuehua_shengdanpifu/hero_jihexuehua_shengdanpifu.skel,TRUE
6,,koudai_dianxi_shengdanpifu/hero_dianxi_shengdanpifu.skel,TRUE
7,,koudai_qiladina/hero_qiladina.skel,TRUE
8,,koudai_fengwang/hero_fengwang.skel,TRUE
9,,koudai_chaomeng/hero_chaomeng.skel,TRUE
10,,koudai_guladuo/hero_guladuo.skel,TRUE
11,,koudai_jidongniao/hero_jidongniao.skel,TRUE
12,,koudai_shandianniao/hero_shandianniao.skel,TRUE
13,,koudai_huoyanniao/hero_huoyanniao.skel,TRUE
14,,koudai_leigong/hero_leigong.skel,TRUE
15,,koudai_yandi/hero_yandi.skel,TRUE
16,,koudai_shuijun/hero_shuijun.skel,TRUE
17,,koudai_ranshaochong/hero_ranshaochong.skel,TRUE
18,,koudai_huoshene/hero_huoshene.skel,TRUE
19,,koudai_dubeibi/hero_dubeibi.skel,TRUE
20,,koudai_siezhenlong/hero_siezhenlong.skel,TRUE
21,,koudai_huashiyilong/hero_huashiyilong.skel,TRUE
22,,buff/qiuleimu_buff/qlm_effect.skel,TRUE
23,,koudai_xiaozhibanpikaqiu/hero_xiaozhibanpikaqiu.skel,TRUE
24,,koudai_goupaluweng/hero_goupaluweng.skel,TRUE
25,,koudai_liekongzuo_mega/hero_liekongzuo_mega.skel,TRUE
26,,koudai_huanghuangban/hero_huanghuangban.skel,TRUE
27,,koudai_lukaliou_pifu/hero_lukaliou_pifu.skel,TRUE
28,,koudai_lieyanhou/hero_lieyanhou.skel,TRUE
29,,koudai_jielaaola/hero_jielaaola.skel,TRUE
30,,koudai_longjuanyun/hero_longjuanyun.skel,TRUE
31,,koudai_biketini/hero_biketini.skel,TRUE
32,,koudai_heilujiamega/hero_heilujiamega.skel,TRUE
33,,buff/zheerniyasi_buff/zheerniyasi_buff.skel,TRUE
34,,koudai_zheerniyasi_jsl/hero_zheerniyasi_jsl.skel,TRUE
35,,koudai_jigeerde3/hero_jigeerde.skel,TRUE
36,,koudai_jigeerde10/hero_jigeerde10.skel,TRUE
37,,koudai_jigeerde50/hero_jigeerde50.skel,TRUE
38,,koudai_beijing/sudu_bj.skel,TRUE
39,,koudai_beijing/moren_bj.skel,TRUE
40,,koudai_beijing/tiankong.skel,TRUE
41,,koudai_beijing/huangtu.skel,TRUE
42,,koudai_beijing/huahai.skel,TRUE
43,,koudai_beijing/dizhen.skel,TRUE
44,,koudai_beijing/tiankong_x.skel,TRUE
45,,koudai_beijing/sudu_bj_guang.skel,TRUE
46,,koudai_beijing/senlin.skel,TRUE
47,,koudai_beijing/shandi.skel,TRUE
48,,koudai_beijing/jitan.skel,TRUE
49,,koudai_beijing/yewan.skel,TRUE
50,,koudai_beijing/wutai3.skel,TRUE
51,,koudai_beijing/yinghua.skel,TRUE
52,,koudai_beijing/haian.skel,TRUE
53,,koudai_beijing/diqiuchengshi.skel,TRUE
54,,koudai_beijing/shengdanshu.skel,TRUE
55,,koudai_beijing/paodong.skel,TRUE
56,,koudai_beijing/shamo.skel,TRUE
57,,koudai_beijing/yuzhou.skel,TRUE
58,,koudai_beijing/gezi.skel,TRUE
59,,koudai_beijing/shuijing.skel,TRUE
60,,koudai_beijing/shuimian.skel,TRUE
61,,koudai_beijing/senlin2.skel,TRUE
62,,koudai_beijing/wutai2.skel,TRUE
63,,koudai_beijing/wutai.skel,TRUE
64,,koudai_beijing/guofeng.skel,TRUE
65,,koudai_beijing/xuedi.skel,TRUE
66,,koudai_beijing/fangjian.skel,TRUE
67,,koudai_beijing/cloud.skel,TRUE
68,,koudai_beijing/bingchuan2.skel,TRUE
69,,koudai_beijing/bingchuan.skel,TRUE
70,,koudai_beijing/yuzhou2.skel,TRUE
71,,koudai_beijing/huoshan_mega.skel,TRUE
72,,koudai_tudiyun/hero_tudiyun.skel,TRUE
73,,koudai_jielaaola_pifu/hero_jielaaola_pifu.skel,TRUE
74,,koudai_jielaaola_pifu/hero_jielaaola_hy_pifu.skel,TRUE
75,,koudai_miniq/hero_miniq.skel,TRUE
76,,koudai_huoyanji_mega/hero_huoyanji_mega.skel,TRUE
77,,koudai_maxiaduo/hero_maxiaduo.skel,TRUE
78,,koudai_biketini_pifu/hero_biketini_pifu.skel,TRUE
79,,koudai_feiouna/hero_feiouna.skel,TRUE
80,,koudai_manafei/hero_manafei.skel,TRUE
81,,koudai_beijing/hailang.skel,TRUE
82,,koudai_guladuomega_jijia/hero_guladuomega_jijia.skel,TRUE
83,,koudai_gaiouka_mega/hero_gaiouka_mega.skel,TRUE
84,,koudai_xiaozhibanjiaherenwa/hero_xiaozhibanjiaherenwa.skel,TRUE
85,,koudai_zhiyujian/hero_zhiyujian.skel,TRUE
86,,effect/dz_zhiwa.skel,TRUE
87,,koudai_majiyana/hero_majiyana.skel,TRUE
88,,koudai_ailuleiduo_mega/hero_ailuleiduo_mega.skel,TRUE
89,,koudai_boerkainien/hero_boerkainien.skel,TRUE
90,,koudai_boerkainien/yaosai.skel,TRUE
91,,koudai_lunaiyala/hero_lunaiyala.skel,TRUE
92,,frame/lunaiyala_txk.skel,TRUE
93,,koudai_shinygengguimega/hero_shinygengguimega.skel,TRUE
94,,koudai_wenxiangkedou/hero_wenxiangkedou.skel,TRUE
95,,koudai_wenxiangjun/hero_wenxiangjun.skel,TRUE
96,,koudai_wenxiangyongshi/hero_wenxiangyongshi.skel,TRUE
97,,koudai_wenxiangwahuang/hero_wenxiangwahuang.skel,TRUE
98,,koudai_wenxiangjun/hero_wenxiangjun_fan.skel,TRUE
99,,koudai_dianxi_mega/hero_dianxi_mega.skel,TRUE
100,,frame/dianxi_mega_txk.skel,TRUE
101,,koudai_shanguangbanjilasi_mega/hero_shanguangbanjilasi_mega.skel,TRUE
102,,koudai_leileishi/hero_leileishi.skel,TRUE
103,,koudai_manafei_pifu/hero_manafei_pifu.skel,TRUE
104,,frame/naikeluozima_tou.skel,TRUE
105,,koudai_naikeluozima/hero_naikeluozima.skel,TRUE
106,,koudai_yantuer/hero_yantuer.skel,TRUE
107,,koudai_sgcjsnd/hero_sgsnd_mega.skel,TRUE
108,,koudai_zangmarante/hero_zangmarante.skel,TRUE
109,,frame/zmrt_txk.skel,TRUE
